,FOLDER,IN FILE,MANUAL ID
0,AM16_samples_split,20190613_011000_0.WAV,bird
1,AM16_samples_split,20190613_011000_1.WAV,bird
2,AM16_samples_split,20190613_011000_10.WAV,bird
3,AM16_samples_split,20190613_011000_11.WAV,bird
4,AM16_samples_split,20190613_011000_12.WAV,bird
5,AM16_samples_split,20190613_011000_13.WAV,bird
6,AM16_samples_split,20190613_011000_14.WAV,bird
7,AM16_samples_split,20190613_011000_15.WAV,bird
8,AM16_samples_split,20190613_011000_16.WAV,no bird
9,AM16_samples_split,20190613_011000_17.WAV,bird
10,AM16_samples_split,20190613_011000_18.WAV,bird
11,AM16_samples_split,20190613_011000_19.WAV,bird
12,AM16_samples_split,20190613_011000_2.WAV,bird
13,AM16_samples_split,20190613_011000_3.WAV,bird
14,AM16_samples_split,20190613_011000_4.WAV,no bird
15,AM16_samples_split,20190613_011000_5.WAV,bird
16,AM16_samples_split,20190613_011000_6.WAV,bird
17,AM16_samples_split,20190613_011000_7.WAV,bird
18,AM16_samples_split,20190613_011000_8.WAV,bird
19,AM16_samples_split,20190613_011000_9.WAV,bird
20,AM16_samples_split,20190613_141000_0.WAV,bird
21,AM16_samples_split,20190613_141000_1.WAV,no bird
22,AM16_samples_split,20190613_141000_10.WAV,bird
23,AM16_samples_split,20190613_141000_11.WAV,bird
24,AM16_samples_split,20190613_141000_12.WAV,bird
25,AM16_samples_split,20190613_141000_13.WAV,bird
26,AM16_samples_split,20190613_141000_14.WAV,no bird
27,AM16_samples_split,20190613_141000_15.WAV,bird
28,AM16_samples_split,20190613_141000_16.WAV,bird
29,AM16_samples_split,20190613_141000_17.WAV,bird
30,AM16_samples_split,20190613_141000_18.WAV,bird
31,AM16_samples_split,20190613_141000_19.WAV,bird
32,AM16_samples_split,20190613_141000_2.WAV,bird
33,AM16_samples_split,20190613_141000_3.WAV,bird
34,AM16_samples_split,20190613_141000_4.WAV,bird
35,AM16_samples_split,20190613_141000_5.WAV,bird
36,AM16_samples_split,20190613_141000_6.WAV,bird
37,AM16_samples_split,20190613_141000_7.WAV,bird
38,AM16_samples_split,20190613_141000_8.WAV,bird
39,AM16_samples_split,20190613_141000_9.WAV,bird
40,AM16_samples_split,20190614_174000_0.WAV,no bird
41,AM16_samples_split,20190614_174000_1.WAV,no bird
42,AM16_samples_split,20190614_174000_10.WAV,no bird
43,AM16_samples_split,20190614_174000_11.WAV,no bird
44,AM16_samples_split,20190614_174000_12.WAV,no bird
45,AM16_samples_split,20190614_174000_13.WAV,no bird
46,AM16_samples_split,20190614_174000_14.WAV,no bird
47,AM16_samples_split,20190614_174000_15.WAV,no bird
48,AM16_samples_split,20190614_174000_16.WAV,no bird
49,AM16_samples_split,20190614_174000_17.WAV,no bird
50,AM16_samples_split,20190614_174000_18.WAV,no bird
51,AM16_samples_split,20190614_174000_19.WAV,no bird
52,AM16_samples_split,20190614_174000_2.WAV,no bird
53,AM16_samples_split,20190614_174000_3.WAV,no bird
54,AM16_samples_split,20190614_174000_4.WAV,no bird
55,AM16_samples_split,20190614_174000_5.WAV,no bird
56,AM16_samples_split,20190614_174000_6.WAV,no bird
57,AM16_samples_split,20190614_174000_7.WAV,no bird
58,AM16_samples_split,20190614_174000_8.WAV,no bird
59,AM16_samples_split,20190614_174000_9.WAV,no bird
60,AM16_samples_split,20190616_100000_0.WAV,bird
61,AM16_samples_split,20190616_100000_1.WAV,bird
62,AM16_samples_split,20190616_100000_10.WAV,bird
