,Unnamed: 0,OFFSET,DURATION,FOLDER,IN FILE,CHANNEL,CLIP LENGTH,SAMPLE RATE,MANUAL ID,CONFIDENCE
0,0,15.255813953488373,0.0697674418604652,../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190623_222000.WAV,0,60.0,44100,bird,0.8281297749973636
1,1,15.953488372093023,0.0465116279069768,../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190623_222000.WAV,0,60.0,44100,bird,0.8213363183270728
2,2,20.58139534883721,0.1860465116279073,../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190623_222000.WAV,0,60.0,44100,bird,0.9038648200749804
3,3,21.046511627906977,0.0465116279069768,../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190623_222000.WAV,0,60.0,44100,bird,0.8486515850676595
4,4,22.74418604651163,0.0465116279069768,../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190623_222000.WAV,0,60.0,44100,bird,0.8493327167930063
5,5,22.953488372093023,0.5581395348837219,../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190623_222000.WAV,0,60.0,44100,bird,1.0
6,6,25.58139534883721,0.0465116279069768,../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190623_222000.WAV,0,60.0,44100,bird,0.8183095404537613
7,7,25.627906976744185,0.1162790697674438,../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190623_222000.WAV,0,60.0,44100,bird,0.8626325475245823
8,8,25.74418604651163,0.0465116279069768,../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190623_222000.WAV,0,60.0,44100,bird,0.8134079923220505
9,9,25.86046511627907,0.1395348837209304,../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190623_222000.WAV,0,60.0,44100,bird,0.9193552644659888
10,10,26.023255813953487,0.0465116279069768,../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190623_222000.WAV,0,60.0,44100,bird,0.79540307987371
11,11,23.44186046511628,0.5581395348837219,../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190621_180000.WAV,0,60.0,44100,bird,1.0
12,12,30.511627906976745,0.1162790697674402,../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190613_041000.WAV,0,60.0,44100,bird,0.9045340558567508
13,13,30.76744186046512,0.2093023255813939,../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190613_041000.WAV,0,60.0,44100,bird,1.0
14,14,1.744186046511628,0.1395348837209302,../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190618_231000.WAV,0,60.0,44100,bird,0.4680287399818447
15,15,2.0232558139534884,0.1860465116279068,../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190618_231000.WAV,0,60.0,44100,bird,0.4913929375812112
16,16,2.7209302325581395,0.0465116279069768,../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190618_231000.WAV,0,60.0,44100,bird,0.4403907583033642
17,17,4.046511627906977,0.3255813953488369,../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190618_231000.WAV,0,60.0,44100,bird,0.4611720726912589
18,18,5.744186046511628,0.0465116279069768,../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190618_231000.WAV,0,60.0,44100,bird,0.41366186742188
19,19,6.046511627906977,0.0697674418604652,../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190618_231000.WAV,0,60.0,44100,bird,0.4513721041091607
20,20,6.906976744186046,0.0465116279069768,../Stratified_Random_Sample_Peru2019_Subset/AM10_samples/,20190618_231000.WAV,0,60.0,44100,bird,0.443603694981989
