IN FILE,CLIP LENGTH,OFFSET,DURATION,SAMPLING RATE,LABEL,TIME SPENT
Lipaugus-vociferans-63618.wav,32.616,1.5448,2.1297,16000,screaming-piha,180.948
Lipaugus-vociferans-63618.wav,32.616,10.1638,0.8498,16000,screaming-piha,180.952
Lipaugus-vociferans-63618.wav,32.616,0.5549,0.9999,16000,screaming-piha,180.951
Lipaugus-vociferans-63618.wav,32.616,8.7739,0.8399,16000,screaming-piha,180.952
Lipaugus-vociferans-63618.wav,32.616,12.6335,1.9997,16000,screaming-piha,180.952
Lipaugus-vociferans-63618.wav,32.616,11.2436,1.4198,16000,screaming-piha,180.952
Lipaugus-vociferans-63618.wav,32.616,21.0024,0.57,16000,screaming-piha,180.952
Lipaugus-vociferans-63618.wav,32.616,22.1623,0.8099,16000,screaming-piha,180.952
Lipaugus-vociferans-63618.wav,32.616,24.262,0.6899,16000,screaming-piha,180.952
Lipaugus-vociferans-63618.wav,32.616,29.5814,0.6999,16000,screaming-piha,180.952
Lipaugus-vociferans-63618.wav,32.616,27.6316,0.6699,16000,screaming-piha,180.952
Lipaugus-vociferans-63618.wav,32.616,28.7315,0.8399,16000,screaming-piha,180.952
Lipaugus-vociferans-63618.wav,32.616,30.2213,1.8698,16000,screaming-piha,180.953
Lipaugus-vociferans-64603.wav,6.84408,1.6094,0.4741,22050,screaming-piha,85.211
Lipaugus-vociferans-64603.wav,6.84408,1.2209,0.2495,22050,screaming-piha,85.209
Lipaugus-vociferans-64603.wav,6.84408,2.1441,0.2959,22050,screaming-piha,85.211
Lipaugus-vociferans-64603.wav,6.84408,3.2991,0.7984,22050,screaming-piha,85.212
Lipaugus-vociferans-64603.wav,6.84408,2.4471,0.8056,22050,screaming-piha,85.211
Lipaugus-vociferans-64603.wav,6.84408,4.094,1.8357,22050,screaming-piha,85.212
Lipaugus-vociferans-64950.wav,13.5576,4.897,0.1906,44100,screaming-piha,107.482
Lipaugus-vociferans-64950.wav,13.5576,2.6303,0.4378,44100,screaming-piha,107.48
Lipaugus-vociferans-64950.wav,13.5576,3.2446,1.6453,44100,screaming-piha,107.482
Lipaugus-vociferans-64950.wav,13.5576,5.1159,0.2259,44100,screaming-piha,107.482
Lipaugus-vociferans-64950.wav,13.5576,5.589,0.2047,44100,screaming-piha,107.483
Lipaugus-vociferans-64950.wav,13.5576,7.8839,0.2824,44100,screaming-piha,107.483
Lipaugus-vociferans-64950.wav,13.5576,9.4938,1.8712,44100,screaming-piha,107.483
Lipaugus-vociferans-64950.wav,13.5576,8.9077,0.5437,44100,screaming-piha,107.483
Lipaugus-vociferans-65113.wav,54.178,0.565,0.8199,44100,screaming-piha,345.377
Lipaugus-vociferans-65113.wav,54.178,2.4249,1.7699,44100,screaming-piha,345.379
Lipaugus-vociferans-65113.wav,54.178,4.2048,0.68,44100,screaming-piha,345.379
Lipaugus-vociferans-65113.wav,54.178,5.3348,0.81,44100,screaming-piha,345.379
Lipaugus-vociferans-65113.wav,54.178,7.8647,0.73,44100,screaming-piha,345.38
Lipaugus-vociferans-65113.wav,54.178,6.9247,0.66,44100,screaming-piha,345.38
Lipaugus-vociferans-65113.wav,54.178,8.5947,3.1199,44100,screaming-piha,345.38
Lipaugus-vociferans-65113.wav,54.178,13.4645,0.58,44100,screaming-piha,345.38
Lipaugus-vociferans-65113.wav,54.178,14.2745,0.7699,44100,screaming-piha,345.38
Lipaugus-vociferans-65113.wav,54.178,15.6844,0.75,44100,screaming-piha,345.38
Lipaugus-vociferans-65113.wav,54.178,16.6644,0.7299,44100,screaming-piha,345.38
Lipaugus-vociferans-65113.wav,54.178,17.3643,2.38,44100,screaming-piha,345.38
Lipaugus-vociferans-65113.wav,54.178,22.9041,2.03,44100,screaming-piha,345.38
Lipaugus-vociferans-65113.wav,54.178,25.954,0.9,44100,screaming-piha,345.38
Lipaugus-vociferans-65113.wav,54.178,24.8941,0.6999,44100,screaming-piha,345.38
Lipaugus-vociferans-65113.wav,54.178,27.854,0.9699,44100,screaming-piha,345.381
