,Unnamed: 0,IN FILE,CLIP LENGTH,OFFSET,DURATION,SAMPLE RATE,MANUAL ID
0,5,Aburria-aburri-387212.wav,84.48,0,3,44100,bird
1,6,Aburria-aburri-387212.wav,84.48,3,3,44100,bird
2,7,Aburria-aburri-387212.wav,84.48,30,3,44100,bird
3,8,Aburria-aburri-387212.wav,84.48,33,3,44100,bird
4,9,Aburria-aburri-387212.wav,84.48,75,3,44100,bird
5,10,Aburria-aburri-387212.wav,84.48,78,3,44100,bird
6,12,Accipiter-collaris-260335.wav,45.3747,0,3,44100,bird
7,13,Accipiter-collaris-260335.wav,45.3747,6,3,44100,bird
8,14,Accipiter-collaris-260335.wav,45.3747,12,3,44100,bird
9,15,Accipiter-collaris-260335.wav,45.3747,15,3,44100,bird
10,16,Accipiter-collaris-260335.wav,45.3747,18,3,44100,bird
11,17,Accipiter-collaris-260335.wav,45.3747,21,3,44100,bird
12,18,Accipiter-collaris-260335.wav,45.3747,27,3,44100,bird
13,19,Accipiter-collaris-260335.wav,45.3747,33,3,44100,bird
14,20,Accipiter-collaris-260335.wav,45.3747,39,3,44100,bird
15,21,Accipiter-collaris-260335.wav,45.3747,42,3,44100,bird
16,22,Accipiter-collaris-260336.wav,26.9322,0,3,44100,bird
17,23,Accipiter-collaris-260336.wav,26.9322,6,3,44100,bird
18,24,Accipiter-collaris-260336.wav,26.9322,18,3,44100,bird
19,25,Accipiter-collaris-260336.wav,26.9322,21,3,44100,bird
20,41,Accipiter-striatus-497793.wav,3.72,0,3,48000,bird
21,78,Actitis-macularius-257516.wav,21.76,0,3,44100,bird
22,79,Actitis-macularius-257516.wav,21.76,3,3,44100,bird
23,80,Actitis-macularius-257516.wav,21.76,6,3,44100,bird
24,81,Actitis-macularius-257516.wav,21.76,9,3,44100,bird
25,82,Actitis-macularius-257516.wav,21.76,12,3,44100,bird
26,83,Actitis-macularius-257516.wav,21.76,15,3,44100,bird
27,84,Actitis-macularius-257516.wav,21.76,18,3,44100,bird
28,98,Adelomyia-melanogenys-45834.wav,21.312,0,3,48000,bird
29,99,Adelomyia-melanogenys-45834.wav,21.312,3,3,48000,bird
30,100,Adelomyia-melanogenys-45834.wav,21.312,6,3,48000,bird
31,101,Adelomyia-melanogenys-45834.wav,21.312,9,3,48000,bird
32,102,Adelomyia-melanogenys-45834.wav,21.312,12,3,48000,bird
33,103,Adelomyia-melanogenys-45834.wav,21.312,15,3,48000,bird
34,104,Adelomyia-melanogenys-45834.wav,21.312,18,3,48000,bird
35,112,Adelomyia-melanogenys-542853.wav,23.856,0,3,48000,bird
36,113,Adelomyia-melanogenys-542853.wav,23.856,3,3,48000,bird
37,114,Adelomyia-melanogenys-542853.wav,23.856,6,3,48000,bird
38,115,Adelomyia-melanogenys-542853.wav,23.856,9,3,48000,bird
39,116,Adelomyia-melanogenys-542853.wav,23.856,12,3,48000,bird
40,117,Adelomyia-melanogenys-542853.wav,23.856,15,3,48000,bird
41,118,Adelomyia-melanogenys-542853.wav,23.856,18,3,48000,bird
42,186,Aglaeactis-cupripennis-237919.wav,10.6841,0,3,44100,bird
43,187,Aglaeactis-cupripennis-237919.wav,10.6841,3,3,44100,bird
44,188,Aglaeactis-cupripennis-237919.wav,10.6841,6,3,44100,bird
45,190,Aglaiocercus-kingii-257863.wav,19.0955,0,3,44100,bird
46,191,Aglaiocercus-kingii-257863.wav,19.0955,3,3,44100,bird
47,192,Aglaiocercus-kingii-257863.wav,19.0955,6,3,44100,bird
48,193,Aglaiocercus-kingii-257863.wav,19.0955,9,3,44100,bird
49,194,Aglaiocercus-kingii-257863.wav,19.0955,12,3,44100,bird
50,195,Aglaiocercus-kingii-257863.wav,19.0955,15,3,44100,bird
51,281,Akletos-melanoceps-270814.wav,9.53469,0,3,44100,bird
52,282,Akletos-melanoceps-270814.wav,9.53469,3,3,44100,bird
53,283,Akletos-melanoceps-270814.wav,9.53469,6,3,44100,bird
54,297,Amaurolimnas-concolor-455603.wav,22.8571,0,3,44100,bird
55,298,Amaurolimnas-concolor-455603.wav,22.8571,3,3,44100,bird
56,299,Amaurolimnas-concolor-455603.wav,22.8571,6,3,44100,bird
57,300,Amaurolimnas-concolor-455603.wav,22.8571,9,3,44100,bird
58,301,Amaurolimnas-concolor-455603.wav,22.8571,12,3,44100,bird
59,302,Amaurolimnas-concolor-455603.wav,22.8571,15,3,44100,bird
60,303,Amaurolimnas-concolor-455603.wav,22.8571,18,3,44100,bird
61,309,Amazilia-chionogaster-47849.wav,5.736,0,3,48000,bird
62,310,Amazilia-chionogaster-92482.wav,77.871,3,3,44100,bird
63,311,Amazilia-chionogaster-92482.wav,77.871,6,3,44100,bird
